"CUSTOMER_ID","NAME","TARIFF_NAME","PAYMENT_STATUS","MONTHLY_FEE"
619,Ahmet,Kurumsal SMS,UNPAID,1000
346,Metin,Kurumsal SMS,UNPAID,1000
353,Ayşe,Kurumsal SMS,UNPAID,1000
421,Emine,Kurumsal SMS,UNPAID,1000
460,Hacer,Kurumsal SMS,UNPAID,1000
206,Rabia,Kurumsal SMS,UNPAID,1000
278,Ali,Kurumsal SMS,UNPAID,1000
19,Enes,Kurumsal SMS,UNPAID,1000
22,Rabia,Kurumsal SMS,UNPAID,1000
48,Yusuf,Kurumsal SMS,UNPAID,1000
143,Ayşe,Kurumsal SMS,UNPAID,1000
9871,Adem,Kurumsal SMS,UNPAID,1000
9876,İbrahim,Kurumsal SMS,UNPAID,1000
9883,Kadir,Kurumsal SMS,UNPAID,1000
9942,Enes,Kurumsal SMS,UNPAID,1000
9966,Yasin,Kurumsal SMS,UNPAID,1000
9975,Fatih,Kurumsal SMS,UNPAID,1000
9977,Fadime,Kurumsal SMS,UNPAID,1000
9981,Yağmur,Kurumsal SMS,UNPAID,1000
1804,Yağmur,Kurumsal SMS,UNPAID,1000
1805,Hakan,Kurumsal SMS,UNPAID,1000
1849,Hacer,Kurumsal SMS,UNPAID,1000
1852,İsmail,Kurumsal SMS,UNPAID,1000
1877,Hakan,Kurumsal SMS,UNPAID,1000
1574,Abdullah,Kurumsal SMS,UNPAID,1000
1622,Murat,Kurumsal SMS,UNPAID,1000
1631,Süleyman,Kurumsal SMS,UNPAID,1000
1638,Emine,Kurumsal SMS,UNPAID,1000
1649,Yusuf,Kurumsal SMS,UNPAID,1000
1651,Leyla,Kurumsal SMS,UNPAID,1000
1693,Ali,Kurumsal SMS,UNPAID,1000
1704,Yasin,Kurumsal SMS,UNPAID,1000
1706,Hatice,Kurumsal SMS,UNPAID,1000
1421,Ahmet,Kurumsal SMS,UNPAID,1000
1502,İsmail,Kurumsal SMS,UNPAID,1000
1516,Osman,Kurumsal SMS,UNPAID,1000
1521,Mahmut,Kurumsal SMS,UNPAID,1000
1556,Fatih,Kurumsal SMS,UNPAID,1000
1558,Mustafa,Kurumsal SMS,UNPAID,1000
1559,Hülya,Kurumsal SMS,UNPAID,1000
1562,Dilek,Kurumsal SMS,UNPAID,1000
1254,Ramazan,Kurumsal SMS,UNPAID,1000
1272,Abdullah,Kurumsal SMS,UNPAID,1000
1288,Melek,Kurumsal SMS,UNPAID,1000
1304,Zehra,Kurumsal SMS,UNPAID,1000
1305,Osman,Kurumsal SMS,UNPAID,1000
1356,Hakan,Kurumsal SMS,UNPAID,1000
1393,Fatma,Kurumsal SMS,UNPAID,1000
1114,Aynur,Kurumsal SMS,UNPAID,1000
1121,Mustafa,Kurumsal SMS,UNPAID,1000
1143,Muhammed,Kurumsal SMS,UNPAID,1000
1168,Zeynep,Kurumsal SMS,UNPAID,1000
1200,Sevim,Kurumsal SMS,UNPAID,1000
1206,Ayşe,Kurumsal SMS,UNPAID,1000
966,Fadime,Kurumsal SMS,UNPAID,1000
1003,Fadime,Kurumsal SMS,UNPAID,1000
1042,Ahmet,Kurumsal SMS,UNPAID,1000
1044,Hakan,Kurumsal SMS,UNPAID,1000
795,Adem,Kurumsal SMS,UNPAID,1000
824,Mustafa,Kurumsal SMS,UNPAID,1000
840,Emine,Kurumsal SMS,UNPAID,1000
861,Zeynep,Kurumsal SMS,UNPAID,1000
892,Aysel,Kurumsal SMS,UNPAID,1000
914,Ali,Kurumsal SMS,UNPAID,1000
924,Fatih,Kurumsal SMS,UNPAID,1000
628,Dilek,Kurumsal SMS,UNPAID,1000
647,Ayşegül,Kurumsal SMS,UNPAID,1000
650,Hacer,Kurumsal SMS,UNPAID,1000
672,Hasan,Kurumsal SMS,UNPAID,1000
674,Havva,Kurumsal SMS,UNPAID,1000
721,Sevim,Kurumsal SMS,UNPAID,1000
742,Merve,Kurumsal SMS,UNPAID,1000
753,Halil,Kurumsal SMS,UNPAID,1000
756,Hülya,Kurumsal SMS,UNPAID,1000
758,Leyla,Kurumsal SMS,UNPAID,1000
771,Emre,Kurumsal SMS,UNPAID,1000
781,Murat,Kurumsal SMS,UNPAID,1000
486,Fatih,Kurumsal SMS,UNPAID,1000
491,Meryem,Kurumsal SMS,UNPAID,1000
557,Ahmet,Kurumsal SMS,UNPAID,1000
558,İbrahim,Kurumsal SMS,UNPAID,1000
588,Mustafa,Kurumsal SMS,UNPAID,1000
600,Murat,Kurumsal SMS,UNPAID,1000
3438,Melek,Kurumsal SMS,UNPAID,1000
3147,Esra,Kurumsal SMS,UNPAID,1000
3175,Dilek,Kurumsal SMS,UNPAID,1000
3205,Rabia,Kurumsal SMS,UNPAID,1000
3209,Fadime,Kurumsal SMS,UNPAID,1000
3283,Yasin,Kurumsal SMS,UNPAID,1000
2993,Ayşe,Kurumsal SMS,UNPAID,1000
3016,Yağmur,Kurumsal SMS,UNPAID,1000
3019,Abdullah,Kurumsal SMS,UNPAID,1000
3021,Mustafa,Kurumsal SMS,UNPAID,1000
3083,Aysel,Kurumsal SMS,UNPAID,1000
3114,Kübra,Kurumsal SMS,UNPAID,1000
3122,Emre,Kurumsal SMS,UNPAID,1000
